protein,X60_1,X60_2,X60_3,X60_4,X100_1,X100_2,X100_3,X100_4,X200_1,X200_2,X200_3,X200_4,X300_1,X300_2,X300_3,X300_4,X1000_1,X1000_2,X1000_3,X1000_4,f_value,p_value,q_value,significant
slr0452,9585681.56828586,11571573.799763901,8056783.582282499,9535689.13239862,7929263.3752925005,7327931.40400949,7552158.87498609,5341843.47967741,18429051.6349154,17688957.784374397,12556232.697367,18136332.2374328,10232504.397722099,17957800.170595802,14528332.377254901,13398640.4837043,21437029.7418636,16858532.7466075,17650842.760471802,23298488.6479722,17.361059298461633,1.685748431482396e-05,0.00015809888610362544,Yes
sll1932,20853768.536127698,14382323.0121518,12463782.271184,14941628.608142098,19541306.5653182,16787574.5585354,15977927.635187302,14604366.0622384,34120746.185773805,26020327.238731798,29213387.2704758,33127564.507345196,32931427.2151229,35876428.383101,37694769.914634205,35181298.0120896,37669480.883935496,31885985.672909804,23137606.099953398,22379060.455959,17.35608792158016,1.6886547691354973e-05,0.00015809888610362544,Yes
ssr0102,393003.532602,450529.27708599996,226104.94531500002,199145.744804,251714.318327,671366.285192,211189.041711,315713.289422,1530525.33617,1115994.2714200001,798974.75046,1110072.7121,743311.982136,839145.89775,837655.215088,1016671.33472,1063810.31082,1639814.6793799999,1748629.1900400002,1236308.774,17.29494255155931,1.7248693280358247e-05,0.00016041284750733167,Yes
sll1787,7229037.13836776,10481689.8465246,8422323.77226671,9109730.35506506,9858739.44755909,9697307.300246902,7526216.53683064,5121341.76324453,18978183.6168238,20508703.5933887,16705988.762628302,18595840.532374803,15381017.912348,20868535.064865198,19470690.4771673,17977156.391511604,18285431.305413198,11448356.570497802,17171933.7337679,10628751.195177902,17.271571707605865,1.738942900403274e-05,0.00016061632807800688,Yes
slr0556,90964.6816298,102943.26221,108591.077259,104178.544877,81756.4801878,100330.021527,74213.9326019,177719.32546300002,164863.827288,225606.45660700003,154670.443871,206307.591459,147930.135907,281431.11320900003,165681.45170799998,188026.98438399998,273972.345713,300540.55349200004,357476.19504,305012.003247,17.25322080695117,1.7500847217101824e-05,0.00016061632807800688,Yes
sll0329,2679103.59759001,4017230.74389502,4146268.15821913,3121067.88330271,2275979.68778638,3261596.31794667,2745386.5284407996,3751191.30937619,1269755.16516625,565360.652583853,2385902.00309679,359957.903671729,1651383.08740457,273790.38202381803,489977.53359234397,571109.368151845,336430.986451344,521516.270469781,440113.47686668206,833442.823164745,17.20044792061956,1.7825792533990623e-05,0.00016217108641685072,Yes
slr1673,528627.777209,421111.586663,285147.201893,331424.592544,578916.727903,289679.387505,321589.762288,906126.1696799999,740598.538043,647342.810612,475070.549487,827793.7534149999,435826.442747,999952.137037,777747.259857,805783.2297,1659860.7501299998,1165811.62643,1647707.58045,1786976.2325099998,17.188107851557305,1.790275792702151e-05,0.00016217108641685072,Yes
slr0821,2647363.9649537997,4424194.361514,4865313.0781,6753648.03378,3334403.6305678,6159822.70495,2432734.6373947,3206150.7756560002,12981481.45188,10291965.23982,10517655.57415,7580116.05828,12533511.49907,10564539.6023,13242999.531369999,10442487.23892,6653775.69479,8189192.30518,5240836.813229,5483300.438319,17.145082679134326,1.8174066124893032e-05,0.0001635665951240373,Yes
slr1796,356063.412888,254683.33979,92107.4855347,166515.943375,275708.79621,175982.29318900002,191651.342411,226234.79664400002,4338810.3186099995,3459281.43924,1404542.74045,4095664.5682699997,1240692.90019,2988480.82237,1980051.53295,1664802.1098,2963789.28712,2459294.46203,3534390.18655,3904826.14189,17.033786147087795,1.8897747222940145e-05,0.00016804939822406942,Yes
sll1289,2150802.221405,2788683.238281,1811918.655941,2180780.552751,3424496.877337,1675711.3360221002,2706028.842923,1167852.25402,748136.425937,783015.720141,1956806.8016040002,2993179.8848599996,2349968.480135,3303989.4368169997,3326941.788025,3277677.6087889997,5490539.991026999,5031151.3380660005,5485960.714118,5986727.237547,17.026527991727455,1.894606377485412e-05,0.00016804939822406942,Yes
sll1305,1399704.2403290002,227798.9075237,890596.5049841,890212.1283917,1419291.684581,932470.962834,992100.6810049999,929550.7066680001,3982152.5617489996,3390165.8282439997,2921655.231819,3064253.682827,1582460.2183414,3184210.132581,2481265.048893,2178299.7429919997,2365799.4555349997,1621022.502371,1253696.909745,1313160.872924,17.007013940445173,1.9076661397423488e-05,0.00016804939822406942,Yes
slr1423,1427675.94848,2180664.1181099997,1956705.7480900001,2000129.73978,1794531.2832799999,2346108.09254,1930619.0861799999,1593064.5553899999,1078126.36829,690329.210147,1442393.3712799998,437491.463379,1414666.77454,374260.497663,413758.310583,525171.832859,130548.525258,248535.681092,417376.037252,145020.71928299998,16.991751162461046,1.917951819351675e-05,0.00016804939822406942,Yes
sll1746,109080108.458263,74416212.1853023,128176747.96726799,129220776.285858,119646417.37688401,123203537.297278,123516332.657669,144299172.425504,128059920.456553,97471095.2515542,136726412.879095,110687100.43493001,145328799.464776,91806217.2894894,86675420.723341,103353796.458847,38071951.5921178,17827720.0994889,24324197.659614604,32846142.348197103,16.96699186150649,1.934771137287476e-05,0.00016804939822406942,Yes
sll1581,768850.2359128341,535883.7359470229,512070.523613801,468758.410237225,413329.61163699103,490352.453898858,486246.467760247,520969.459869109,2914771.6770113,1497543.9696598,1736817.46342812,1955186.92265231,1510026.76226032,2241702.83592502,1850816.08983301,1635909.32416816,2081383.43411568,1601018.63212362,1401083.46216831,2256452.93725086,16.96008203040836,1.9394948468871094e-05,0.00016804939822406942,Yes
slr0598,451151.502304,562911.27082,382532.085922,457126.03833199997,593838.3915939999,450878.02910299995,410229.59446500003,659150.895509,960541.811342,773100.991437,800750.761094,878145.68146,1142558.84698,958081.675084,924806.718534,1034605.14332,1262694.2771100001,1662173.53811,967114.4808309999,1084304.74186,16.807199507987253,2.0474252866404157e-05,0.00017630606634959136,Yes
sll0370,7577558.423995099,6357941.47473644,5036650.53690364,5302006.97068431,5436602.29957426,3914437.12542964,4079232.19791622,3222659.23980188,3567686.70896646,2204599.73260396,4261619.25589347,1866635.99686335,4046519.05812986,1863118.11364802,1612556.79754492,2280437.84157508,863876.3576554891,558922.764322969,802954.834525109,771789.469736985,16.753688043572847,2.0867975316483512e-05,0.00017859402188033437,Yes
slr1533,2769825.932137,3673825.32532,1674037.054363,2754623.913469,2136884.185985,2414536.034411,1800102.368912,1791621.1409439999,3752184.1177040003,3504626.942504,3697702.73456,3404178.459246,4010947.90477,3587257.255052,4044381.91536,3766176.30771,4548237.4223690005,6343683.61866,4386882.544811,5091366.968616,16.727814351135077,2.106141714856295e-05,0.0001791504690380812,Yes
sll1221,841951.050066,1376889.02153,1043695.53808,1057923.12386,711881.9128899999,604694.433075,595986.354629,542303.3252590001,546510.974783,543059.417419,764401.397034,490135.30812700005,362257.653946,403998.856442,429445.662448,625818.858585,405385.366165,356794.404643,363440.85830300004,490523.86214399996,16.610846596373865,2.196164031663278e-05,0.00018567568631334987,Yes
slr1299,5523998.47780679,4903672.66375346,4054190.25239854,3778966.52046881,5298328.82686888,3422724.87360323,3994160.73484978,2759571.81965639,7901590.99195946,9364638.12864725,7056360.5397435,9799692.16404465,6914950.91741204,10970508.997646,8378589.92688616,8141969.75937093,13702530.2071994,9411695.14822325,16621022.2964927,11578316.723802699,16.55996250338769,2.2366803251392652e-05,0.000187961991178872,Yes
slr1097,1514865.96516854,1802718.0753674998,1753353.95275868,2328177.18809743,1436279.44170372,1492172.33253522,1164047.07809439,1720902.4268737,4172478.79391314,3198764.9989701,3172639.11367564,3604152.83665032,3674114.16398983,3769328.23542653,5090550.00546852,4124019.30347723,5195520.50963233,3654066.83687038,2824150.84073276,3485497.03871704,16.47339031854725,2.3075739049586596e-05,0.0001918122288688714,Yes
sll0698,3384736.33853,5497075.40423,4218003.30133,5010086.41514,6125683.8595199995,5173912.57704,5132449.64917,5556596.086069999,8517726.015080001,8487020.832910001,7977235.259260001,9902223.91023,7504865.75369,10292915.4212,9567350.39854,8556497.792030001,14928937.1144,8736319.25637,11796180.947999999,15333263.3199,16.470485093438413,2.3099967347649026e-05,0.0001918122288688714,Yes
sll0661,1462337.4843,1832345.16825,1374627.80791,1368043.9735299998,2262435.4371599997,1786233.9453900002,1881412.3969,2020379.2042599998,1406602.04831,1310244.54214,1591262.6173,1227521.63562,1746047.68555,1015215.78054,1148733.78382,1466692.46169,670178.6790199999,626179.147121,852198.403455,141972.432098,16.452702618797783,2.324889471164006e-05,0.00019190655693927743,Yes
sll1910,525669.339505126,789556.489801161,560511.002910261,336947.744115208,875956.164269145,510669.910672439,669850.111166695,697487.706084814,2438944.91316569,2430295.95667394,1961011.55866652,3330148.21815288,1319700.7607932,2997843.36654102,1904864.59717761,2005585.37247682,2917127.25397181,1771803.92507904,2664728.72235402,2298937.47207889,16.42970256194368,2.344313450681984e-05,0.00019237160374713924,Yes
slr0985,897722.909461,855021.311446,1014692.170319,1024527.29268,1068075.434405,841952.0118054,921061.6639729999,1045325.246726,1589920.379583,1461194.90366,1268689.0873739999,1493844.505407,1251069.190717,1084381.4653480998,1185367.725478,1293018.75064,1435254.560474,1834090.8279150003,1350968.916607,1764742.795906,16.296540241762195,2.4604496974280048e-05,0.00020055897318147132,Yes
slr1165,894542.145357,774714.095851,723348.8302310001,735267.346669,1107159.299068,674628.7035,813700.780625,722755.992997,4355096.892121,4880726.793190001,2821499.923668,6270704.92165,2115797.871073,5434706.072323,3214921.851673,3239379.750699,5854120.454854,4001167.0440730006,7921819.157860001,6452793.51636,16.269077880621488,2.4852032141556396e-05,0.00020055897318147132,Yes
slr1220,3265744.04579166,3013006.40429978,2357869.74531273,2687435.52929438,1844841.20730141,1486486.85197559,2463787.34166232,1700985.09951032,6089599.1260848,5261218.53158115,3998937.26346207,4835104.82994396,5795902.3042212995,6025700.45094072,3954461.64628801,4037593.67448531,5132672.95770372,4192179.54144056,4339240.16922813,4636390.05657276,16.266855366694248,2.487218807196741e-05,0.00020055897318147132,Yes
sll1180,2469808.47852581,2942159.68117477,1766168.97394789,3525336.33157908,5786109.86932707,4202408.60802533,4643209.96734952,2413661.34182682,7703575.31431141,11932945.8222679,6550997.59909319,10455221.6063966,6595485.82926568,14722479.6211906,10201426.966234,10047816.2943424,17068337.2685112,12069816.175104901,20362964.3070007,13569255.1836081,16.22793238663493,2.5228198253087784e-05,0.00020118238733804345,Yes
sll1800,4875800.02393182,6398129.09054324,4796849.14710435,4539064.29006012,5196985.95712197,4588402.09592247,5281722.82147349,5127741.12123911,3154594.99709373,1641652.24352677,4068202.03190695,1471681.40873509,4037945.63523258,1113278.19885757,1388793.61847149,1989408.41164306,776843.467529712,1313905.86717034,1033795.92299322,995495.645572709,16.190270934607188,2.5578172603070808e-05,0.00020118238733804345,Yes
slr0193,6862277.3485186,5982873.28129444,4514872.21270852,5774692.58933195,8242617.27234616,5315736.87418076,5100341.55918667,4056143.45346449,6822393.77747111,7025099.26009673,6888203.6202151,7465848.21008168,6263865.4759928,9092954.88883874,8752528.75795385,8732781.81199393,12389625.905158099,10282394.8466076,11014034.138052499,12886002.6788405,16.19018670194289,2.5578961484829777e-05,0.00020118238733804345,Yes
sll1275,8974584.44829025,6420263.92573473,5888795.32974766,6982142.38573465,6134721.5472928,8302660.32997353,7896628.17390827,4552790.74777589,3594345.69496142,2149142.19904645,4470897.87095576,1515423.28244137,4188950.07746789,1639042.39990819,1724440.18510179,2429577.44006066,1581881.75602374,1634266.36416509,1160012.40984026,1789581.97346788,16.187996626896652,2.559948232692061e-05,0.00020118238733804345,Yes
slr0435,1594631.8025200001,1116392.1370700002,661959.525896,1056640.75183,457149.719959,717025.463854,882616.6358129999,642933.167849,2492988.71818,2041317.5856400002,1538206.2533200001,2125703.1121,1649502.04927,2052170.8819799998,2265468.23392,2305190.23789,1591978.4013,1533506.41692,1848406.3806,1424241.09344,16.16578792571498,2.5808632738447094e-05,0.00020118238733804345,Yes
sll1127,174672.429132,174009.80498,244708.174711,322551.246871,572957.612127,540919.289361,426882.055912,569964.081151,399732.24147199997,492171.72666899994,520761.974115,586144.958185,364575.416896,537857.887481,455870.80878900003,485890.56797299994,762439.120578,569227.13382,903152.5280180001,701002.829963,16.16513604892375,2.5814800955920986e-05,0.00020118238733804345,Yes
slr1531,1802511.59619162,1965718.27717797,1462073.35227832,1566641.87168934,1605937.40039326,1322435.26044319,1384032.04058773,1762123.44723875,1287668.96325912,968034.220855668,1168155.36995522,907855.280050907,1447678.9617877,1008527.74167249,764802.917120442,1038990.60440942,639850.235624272,611790.540930973,785369.5998800191,555626.67639393,16.07401054854035,2.6693714343284632e-05,0.00020687628616045592,Yes
slr1994,5232575.82067968,10740402.6850464,8044667.68700485,8006406.42160042,5903374.93972751,6443023.56837203,5002221.63048917,5002067.74273863,1976909.11749815,2532674.47686476,4159168.9214134,2459184.78821481,4172957.76306337,2863026.26429984,3285363.53721102,3745775.9690764,1881093.92522133,2905259.50726711,2118817.37384339,2124190.83273188,16.028899284000072,2.7141323339009033e-05,0.00020918312739180996,Yes
slr0606,6495767.224277,7138092.84886,5468873.01678,6353443.27335,5637976.976669,5311932.200069999,4944360.373941001,5545108.373687,5984795.381674,5120893.876535,5245645.858653,5581400.856162,4956352.414852,5729188.406929,5267572.836909,5181270.280936,2383541.5845439998,2329984.74217,4543533.327193,1874961.3725220002,15.988567581934843,2.7548715344807723e-05,0.0002111563621209163,Yes
slr2075,78553638.5447697,73306355.1415438,67731083.5700665,84479347.4146672,113679943.633103,104443153.771088,93081546.3941092,147456863.819633,147967613.660819,105620765.31519,147199717.612351,140448692.687449,185498190.078302,148151927.12736002,148795361.501031,177425806.667898,175208897.891293,194700111.639183,141152321.726805,198683870.44918898,15.920496379444407,2.8252112300543268e-05,0.0002153644626188954,Yes
slr0398,19353000.922576003,33887198.192924,26161366.025794,35495669.205697,30073770.51122,26036478.853173003,26528589.581157997,23282386.67502,38288869.347541,35507134.782396995,33072618.842277,45564311.609383,29774003.429109998,47863327.42639,41273810.84123,43057138.332053006,68673915.27884,55136399.539639,86613666.31501609,60539327.170709,15.889928107526643,2.8574582720052486e-05,0.0002166388200786588,Yes
slr8030,2274601.899311,1052892.93138,1424155.4976620001,929611.4529889999,3091582.872953,1224249.281094,2344309.293921,1756600.69728,2239457.23886,2219579.463184,1875256.487256,3202239.6580080003,1235993.1904870002,3670817.277844,2902962.228266,3352013.8420369998,5067073.888175,4895886.63084,5175074.757480999,5608823.988030001,15.861493518179962,2.8878290893301573e-05,0.00021775792322246322,Yes
sll1244,33145774.691811897,40290214.5745988,32889461.502599202,39023500.085524894,59013856.9327145,46485107.083296,40894528.1487458,68529152.0688166,68935105.7983109,58635465.468966894,66469035.754427195,60444540.1031609,49042042.7617319,74456478.580649,82956898.11676659,95543650.84338671,113910360.129975,138358437.085227,89492140.5106582,103830617.54212901,15.77621338741994,2.981131452095933e-05,0.00022358485890719497,Yes
slr1970,1015909.366077,1749087.7769270001,1007526.816461,856195.621682,812916.1130646,845729.945373,978314.064829,994025.2723569999,2453949.237285,2128290.7122380002,1933710.852573,2401767.44203,1530422.12307,2204579.037897,1640167.656712,1563238.640392,1977944.7375560002,1782211.8852279999,1581865.3179879999,1840215.4744111,15.749576694019941,3.0109699758192352e-05,0.00022387551136133767,Yes
sll0421,6562008.55605463,5667365.78966103,5505741.80228075,5489401.58005812,4598105.57201456,5160151.981437099,6148674.694165099,3275792.01004712,4803818.88700896,3285375.24215303,4498336.03943485,2595213.29154337,4273534.41269888,2455856.1773996004,2493985.48108747,2610198.72852316,1374384.63405057,1214006.89569763,1910261.57369667,924264.8624596009,15.73211120793987,3.0307184421132e-05,0.00022387551136133767,Yes
sll0017,8038509.24132928,15636209.816053601,12414745.682703199,14159911.1217318,11136035.1169036,14581099.065097101,12966523.531546699,15130928.965154199,25493058.254582603,25301278.9806123,21198672.0349474,28200417.3821253,19941246.9008422,26020635.450899303,23830382.475045998,21900687.493785396,35766237.133279294,24401159.605172303,34181693.494723104,23587214.7864008,15.718688129374456,3.0459958114092673e-05,0.00022387551136133767,Yes
sll1106,11542801.531514999,28676140.7685573,28565406.6484034,26917034.0501591,9094950.182957599,22882216.4867508,13759841.4015781,24489352.5172004,1839550.10094793,1406129.84294579,6287040.12992089,1610763.58365139,6929602.49086555,900818.817755365,1249145.6433873998,1584138.80077561,1169491.46208034,1209614.08954548,1730148.09898684,1660482.98674399,15.715882071919337,3.049200513165172e-05,0.00022387551136133767,Yes
sll1553,6332018.74431183,7668990.32876514,5632586.39817815,6801700.07523948,5886546.94024125,5339265.37304009,4695829.78226503,4774120.90973243,10786352.2563453,11104358.3300566,8383907.02116641,12061561.7748826,7576476.03985396,12279717.4505203,9924109.83035041,9784364.03804451,12472774.1173758,9935444.78284505,14943328.6553996,12481226.3094173,15.676658813489587,3.0943981156095794e-05,0.0002245656653623613,Yes
ssl3364,5674079.52101,14125338.244422,15055527.929220999,14261650.704659,14050808.954148998,19173597.08778,10757221.486522,28122607.627152003,1269513.695093,412243.98068000004,2031434.68431,672094.280121,3799119.350084,141996.38578520002,1069948.968653,851877.993384,671783.226672,1487285.291298,270428.178146,1243946.487228,15.676193779932918,3.0949385131521196e-05,0.0002245656653623613,Yes
slr1227,1698296.871643,1845610.24385,1125860.18704,903447.00561,808804.527489,1047307.07979,1071817.8986840001,970998.550967,6072478.316803,3796125.8696660004,3399207.685821,4975211.881248,2999254.2780069998,4106250.414153,2444718.5912409998,2500728.740159,3304995.639122,2584775.57786,2040028.835362,3081330.85502,15.665928934760673,3.106894151608296e-05,0.0002245656653623613,Yes
slr1763,5959750.66585894,4888704.38018364,3653219.83839023,3998970.13772749,3183035.9856357,1862114.62981995,3288712.07901911,1644782.37230013,2348197.87349447,1859092.17323467,2493198.64973325,1810273.71922688,1901190.68507526,2218730.15667118,1315906.39715505,1522036.64700058,1520348.39335373,949863.869082988,1499915.23915648,858447.780707619,15.595016797217058,3.1909299520757984e-05,0.00022945089088380097,Yes
sll1804,10179336.82196,9746229.135475,5683855.499193,4785920.129949,11955409.22507,4112028.1936330004,9174588.35348,2223086.206392,13397135.01587,12638819.20872,9388342.73838,17582721.1173,12050925.69016,11930126.32443,13328026.455628999,15774871.218460001,21805195.02104,18769700.8364,25830146.57438,25143252.28831,15.53824588621994,3.2600650987549605e-05,0.00023322004168016257,Yes
sll1326,94356234.0049642,35506298.261492,76101163.94129421,78271688.5304607,47648238.4794571,74913103.5673793,72263705.3873057,76030855.93825409,26717406.1804004,12706529.9779349,40063313.1929932,8942697.30975259,38315943.766726,9171169.98300304,7612967.99717768,9814720.87585117,3989367.48897307,4193004.13614039,6312471.67872569,4003153.68819796,15.454745586323797,3.364855457360127e-05,0.0002394884368886417,Yes
sll0018,48464111.1801,39549142.310729995,60890617.5809,50510850.6216,28419053.1759,59285769.4056,58853221.2522,52626304.52048,29394206.345179997,15847734.90867,36388269.73525,11990832.1611,33287858.60382,9612711.86611,10404646.443219999,12910064.98353,4517918.207448,3651835.3361230004,4784374.84447,2072402.624357,15.430999928813927,3.3953483938895195e-05,0.00024043203093786192,Yes
sll0617,18948590.3000283,17062512.5354617,14967687.2187755,15993446.2050725,18030816.0168843,15779751.650823401,23943146.9226119,18011004.1358181,12555415.380406199,9492370.71234176,12661652.6388206,9480078.2430047,14496411.1973986,9934162.87056567,11153639.9944075,11877808.798955198,8707715.74126588,9319602.88369988,6212176.67737213,9343179.5232181,15.389888012642132,3.448885021828061e-05,0.00024298962653788612,Yes
slr0528,5341589.78801,6594470.16022,5457599.59227,5705780.90213,5924653.15044,5009849.12792,4733698.10161,3023149.07056,7979872.54325,7707184.208849001,7628439.77162,7691034.101296001,6771936.06864,6988597.460357001,7930134.153067,6796954.291979,8060516.660998,7636861.916867999,9829653.668751,8212780.183386999,15.216812885904085,3.684998956791707e-05,0.0002583202786293684,Yes
sll1802,19151074.0355,20613226.149329998,17031139.23641,19157099.71257,21610792.24982,20303169.047539998,20616482.147379998,18214070.60244,15822061.27299,11216164.57082,18685130.78373,11710318.1995,21943587.8537,11331412.664210001,11893343.34709,13791336.455160001,6339288.657269999,4448829.367430001,6603413.50043,5938932.205030001,15.176435104477706,3.742683316050045e-05,0.00026105216129449063,Yes
sll0513,3136438.64959,1929550.9198619998,2167275.9842669996,2186191.47533,2935732.21286,2713544.7015299997,2618619.79098,3022046.17832,3151407.68304,2988548.88882,2659865.80297,2238834.0621240004,3042209.188961,3725948.9074699995,3733252.52674,3841871.84974,1774368.93102,1764237.162009,1745790.8618639999,1384829.8129450001,15.090488255819299,3.868905628843389e-05,0.00026770560756717737,Yes
slr0348,1494425.98813,1913693.5787,1560771.57982,1499674.50781,1732891.66783,1417444.15686,1496999.14324,381026.907559,2159623.53922,2380924.63064,1711210.8682,2260987.18375,1743667.55935,3059204.43267,2689152.9396900004,2363862.64511,4171100.45869,3106285.3149599996,5298282.52348,3873977.5929,15.085449433766216,3.876453959037264e-05,0.00026770560756717737,Yes
slr0653,1534519.68225456,3050406.03008018,3007387.96026587,4452453.70804487,714972.393311487,4423250.95923082,1360200.1368026,2839865.60022584,5715390.1896157,5593594.76876982,5689508.46948377,6473749.54760753,5659193.22629384,6248035.5639133,6564095.32558019,6217101.97703658,5993383.11912134,5850316.12673921,5779189.78816457,6542473.95149904,15.050926466089733,3.928621379195345e-05,0.00026997176472795596,Yes
slr1406,92400.0433969,349252.854397,380964.770906,645568.388148,263745.755346,707148.4594180001,456815.201546,1969624.5704400002,3736489.03449,4030461.1810000003,3476259.08632,2860705.9164400003,4087696.98335,4023936.52809,3036469.53939,3416313.65765,3624811.7272300003,3851234.30345,892680.8444790001,2128172.63992,15.026415655306518,3.966142134776305e-05,0.0002712141312751444,Yes
sll1444,2380552.30399,2568978.54451,1945991.6244,1967643.67675,2319988.42931,1749741.99648,2025633.39487,1696963.70295,815724.443301,683627.861577,1269435.25569,127416.063674,1727105.5182400001,239945.752811,443466.889133,953217.925076,199809.362956,468324.832997,619121.732095,187651.528655,14.935253115770788,4.10929729631097e-05,0.00027963266967579527,Yes
slr0947,2960392.084971,5460543.574016999,4668480.004094,5076910.29969,4613038.986427,4969758.691554,4393649.010632,4521551.825459,9140522.7481,9553485.57909,6311634.92463,11335062.884639999,6561636.9799,9305302.54152,7239493.729510001,7003538.15085,9352132.50756,9542313.743280001,9272805.095010001,8846931.34881,14.912211166495622,4.146401042905512e-05,0.0002807878376142325,Yes
slr0012,85044050.4856459,121468148.294398,95941243.374217,122247716.746775,90623649.4466463,111084053.028645,122593943.328017,61468958.9039215,284684564.715234,358287064.006444,232564061.60400498,261958661.700227,230455257.34809,127304400.90784599,275831181.517447,280878383.64168,296866111.641627,486702219.513846,297825652.692464,482549576.131055,14.881404182339134,4.196602714264831e-05,0.00028281453074393425,Yes
slr0321,1021501.920337,817004.769595,501616.22661400004,522817.797421,447098.325535,397963.3094411,264185.5974,149850.2469342,1664591.620625,1797602.2414400002,981142.7529549999,2049199.313373,863366.3501870001,1919126.4908790002,1474291.2545969998,1346065.054673,1573200.6903290001,1670448.598559,2030715.732957,2214916.220185,14.850297756059089,4.247991805816661e-05,0.00028439896941821665,Yes
slr1816,1907914.3447689998,1073548.7311290002,891160.846644,889583.865223,2614671.578382,936144.744541,2224740.712194,601792.3748550001,2556287.489149,2487668.597925,2039572.76192,3035140.327306,2194798.239689,3099964.4696349,2775429.8615709,2992215.5882119997,3691682.099961,4701871.112622,3740825.175329,4348897.1364066005,14.842558521302218,4.260887785548909e-05,0.00028439896941821665,Yes
slr1992,3577361.73926584,4265548.81673991,2657959.52000857,2079665.54347621,2124749.5255547003,2926075.26531182,2656309.37148003,3743014.93187487,888423.3028040109,1049188.8452443,1049297.71856121,982635.607355142,1579846.97179317,852953.7115972571,708001.21666103,671779.63567246,801929.2793816059,1231715.50610804,1298008.26699399,926144.5681096129,14.810310331076526,4.3151026651173754e-05,0.0002866461056113685,Yes
slr0112,228089.549727,159428.314135,146550.059547,42799.5647,333518.487129,152513.09249500002,305539.312629,288735.308373,442088.769291,294041.61271799996,332243.712156,280934.14907399996,453040.76923800004,352881.907613,458046.832035,438773.635084,776244.076782,882627.2262520001,418808.454915,749556.898695,14.792895021097001,4.344705427069309e-05,0.0002872447426901273,Yes
slr1505,487430.06316,999423.495333,641162.363682,667353.522447,952274.2497690001,913432.884433,678770.526674,992053.0265350001,809054.56275,1133150.393308,1504688.809746,614332.250354,1468891.480183,1540261.147555,1522574.346026,1519503.862824,1433519.6478950002,2388965.399051,2128729.015025,2444054.285015,14.733945222212364,4.446629013122563e-05,0.00029259657892952715,Yes
sll0927,1500777.79495216,1806205.94761678,1365742.16287539,1549165.34603751,2240077.76232021,1314978.67483721,1729593.00739656,541872.849638546,16148531.2827072,16798858.1515587,8071035.26203525,20660969.7224534,7591302.61158944,18593139.7989849,11945740.3495004,10508067.4474652,18493559.6513654,9079357.8189725,18004624.5239692,15202798.708885001,14.638225981098904,4.6179474960634895e-05,0.00030244304023514405,Yes
sll1260,1556738.57187494,1783506.47574775,800057.05878155,623483.43749339,1555071.22483233,1433882.59235383,1408248.83629122,1493257.76869416,5181336.23518884,4608303.37479412,3075538.19598393,6071413.17508052,3137806.88514617,5579181.85840514,3970941.35858447,3301987.99238038,5221146.3054964,3198777.40449977,5348260.17641447,4765438.21916722,14.611536615918999,4.667039983373765e-05,0.0003042299428414207,Yes
slr1198,20506961.0766243,21808174.219354603,17824802.682478,17578230.137012698,14383990.095803602,15195306.19785,13257478.4592508,3356748.61337401,43784718.1604697,37849731.3131996,35271505.3857505,42145354.456783794,33509851.151856396,39492450.5467026,44989187.2433605,32126822.3464457,48210489.582789004,23688928.9949939,28430012.146882698,28871600.5526755,14.580393460363231,4.725073481293482e-05,0.0003065803491350887,Yes
sll1363,31991579.947844606,24230290.4890425,28044363.1539117,25377576.7707379,40685692.726525605,28407593.7050489,41247362.7694991,11866417.693363901,9087246.15513317,4555005.05124369,12256626.7422246,3199087.2713905,13730464.9219415,2249658.82814415,2324754.56941051,3390694.46177057,1058912.85118383,1719524.56025821,2126351.18096043,1538701.54546092,14.462920156732476,4.95145264364269e-05,0.00031912639439876287,Yes
ssr2049,194076.052965,362571.62131300004,283129.941587,491301.40664799995,18220.1059428,498705.190845,54493.62286619999,481531.28276800003,1288027.1359299999,935674.249884,1293360.81027,977704.21576,830779.055764,776155.042262,1211756.70711,740519.565722,724681.1833340001,1050385.8504700002,1063919.34621,1290798.27838,14.456492881005502,4.964188357314089e-05,0.00031912639439876287,Yes
slr1963,5512160.68449362,4320206.99365981,2728642.00106039,2724752.26623279,5453394.62604414,1963759.91912008,3897063.13139197,2342629.72493671,10936586.5232711,15988710.7605555,7502780.12047271,18836683.092868,8113998.56056343,21435676.005235102,13463929.7669166,13632007.268022802,28032965.046729,21703056.8487288,34904299.2019611,17944253.5451966,14.413657035172406,5.0500215549150836e-05,0.0003231550490415845,Yes
slr0808,848395.235042,1664318.199923,892039.4954469999,572333.5890295,998754.54536,605496.183822,1230826.265233,629690.590004,1140865.3157799998,1637351.455198,2945599.194646,4187705.695154,2685262.567439,4510846.839717,5304641.5873,5723411.93503,3534457.4287435,6402167.13949,5044692.48259,6089156.49749,14.348690159849651,5.18342664847751e-05,0.00033017717692356745,Yes
sll0542,3249325.11938626,4396138.05956223,3061397.79967983,3485908.33405752,3263751.18470293,2225541.17734153,2853050.32625488,3120424.50318184,2987725.93501092,2387196.1066694,2809080.53635588,1450724.3087839,2259687.20755915,2092113.11477856,1965724.00921543,2029431.62886812,1232746.05853559,584650.1601197,1254080.58484296,1306064.5524275,14.333023231632621,5.216191854830874e-05,0.00033075398352223044,Yes
