protein,X60_1,X60_2,X60_3,X60_4,X100_1,X100_2,X100_3,X100_4,X200_1,X200_2,X200_3,X200_4,X300_1,X300_2,X300_3,X300_4,X1000_1,X1000_2,X1000_3,X1000_4,f_value,p_value,q_value,significant
slr0212,2169529.51492,1980105.4010380001,1836600.996281,1962436.993066,1543867.92896,1618674.150295,1629209.9163950002,1241219.050147,1035297.7668239999,1020205.037952,1246415.42855,859289.957924,825012.7071831999,683216.607371,661723.434859,636827.928445,962318.432066,273434.29911059997,517474.9002033,325580.1110586,39.45446184743007,8.58194549796906e-08,4.209876910259949e-06,Yes
slr1542,1457222.95815,1907027.90882,1389832.00156,1846224.63558,1474164.57557,1555607.16043,1247494.32246,2004041.35325,1909295.51619,2273715.18089,2267376.11385,2201529.0718400003,2658057.54445,2330499.1992099998,2612595.75262,2441659.0241900003,3284071.05914,4151418.3774300003,3470400.18744,3876968.78085,39.340503909166024,8.751715440683766e-08,4.209876910259949e-06,Yes
ssl1426,3246925.0707,5978755.8221,4345522.2106800005,5671084.057019999,6632183.92248,5994480.12747,4742071.64076,3272896.15798,6510183.39477,7921609.31591,6158648.40846,8094421.92676,6179556.99331,7870879.51858,7898952.17127,7142089.096460001,12447509.6298,15371566.8649,13977434.7528,15933020.881,38.67868746272346,9.816217997724306e-08,4.564541368941803e-06,Yes
slr1367,2718551.18258296,2874735.1883421,1969785.6910130002,2114943.26024946,2217074.69068043,1531448.97627509,2083243.7973425,1698638.87939938,4161458.38865732,5426624.95945073,2153043.69687719,4856363.62693388,3475648.36364425,5888637.18002865,3647077.1471286,4473853.32225776,9872156.6302976,8574285.88496028,10523467.3708575,8424921.64060747,37.93189875319222,1.1197635766336132e-07,5.03893609485126e-06,Yes
slr1164,718595.256545649,523588.398849475,982680.2635570379,652206.7690724289,626484.240199536,657121.543462027,609045.198406309,827478.525765073,2433072.56506828,2576939.55775339,1437727.9182864,2454725.07376025,1989228.82880716,2861100.84564278,2302319.90428823,2292860.99617293,2592680.7430525003,3287897.85463931,2712420.22226941,2932752.13965756,36.94783339225651,1.3367230495947694e-07,5.574624375765811e-06,Yes
slr0551,3486901.10912637,3485015.34106726,2430949.63960565,4029269.92629359,5087047.40898203,3125550.07627414,3154675.0290343,4187029.00181304,7629314.57309388,8383013.22121539,5765064.49073653,8955451.98688371,6491840.94858455,11149125.1220637,9490168.75742998,9775277.529030802,12682962.228347698,11577357.8894569,11884039.9854337,13116549.680682901,36.912695469458974,1.3453078158302784e-07,5.574624375765811e-06,Yes
sll0851,38424141.9231,56190567.4166,48764821.5762,52795073.1386,42001996.4508,41152784.0119,36688731.5172,37369258.4322,35411483.512779996,30186668.563,31650001.00421,21802638.28356,28143385.86558,20540883.00882,19791251.35412,20283784.20791,6519523.821885,6300781.52733,14484023.89734,4480819.741847,36.85842585878493,1.3586898120146061e-07,5.574624375765811e-06,Yes
sll1069,12488535.717458699,10005798.6277563,10528656.121322399,10733246.6051987,9967014.57039929,9474722.96098431,10743756.2420454,8169650.1223865,4543198.31158459,4256436.87599465,6965394.22251071,3576976.12804996,6279515.53741992,3864722.47789442,3729845.57163136,3480096.09925146,3587358.9394581,3759238.23845744,2938347.09175163,3563960.81441368,36.150253152751425,1.547888867058542e-07,6.169442770133331e-06,Yes
slr1755,549962.986134,989093.4506239999,778678.159075,888146.551948,746210.707208,731394.177923,553161.395116,506900.51325600006,1463661.90265,2029021.48487,1320026.11298,2136933.1666,1131802.19894,1935507.4507400002,1906741.1089299999,1626954.4484299999,2955956.07155,2628233.16084,3513923.0929099997,2813848.04699,34.857988974531544,1.9754308729603352e-07,7.288936596312037e-06,Yes
sll0897,4305256.78004442,4132552.15404389,3480813.08006091,3803201.2857737998,3693797.49721668,3263378.91479973,3161061.62867167,2365139.43835521,7763310.61268664,7411235.20953425,6311835.31498627,7802574.89855505,5801575.55857047,6930071.1154208,8484457.97279603,7483608.2464041,12574789.9163904,9749046.62007348,8623531.96596935,10960650.9688311,34.62157075484267,2.067368834935372e-07,7.288936596312037e-06,Yes
